Wavelength_nm,SPD_W_sr_m2_nm,x_bar,y_bar,z_bar,S_x_x_bar,S_x_y_bar,S_x_z_bar
655,8.66000000e-04,2.18700000e-01,8.16000000e-02,0.00000000e+00,1.89394200e-04,7.06656000e-05,0.00000000e+00
656,7.41000000e-04,2.07097100e-01,7.71206400e-02,0.00000000e+00,1.53458951e-04,5.71463942e-05,0.00000000e+00
657,6.13000000e-04,1.95923200e-01,7.28255200e-02,0.00000000e+00,1.20100922e-04,4.46420438e-05,0.00000000e+00
658,5.33000000e-04,1.85170800e-01,6.87100800e-02,0.00000000e+00,9.86960364e-05,3.66224726e-05,0.00000000e+00
659,4.56000000e-04,1.74832300e-01,6.47697600e-02,0.00000000e+00,7.97235288e-05,2.95350106e-05,0.00000000e+00
660,3.90000000e-04,1.64900000e-01,6.10000000e-02,0.00000000e+00,6.43110000e-05,2.37900000e-05,0.00000000e+00
661,3.34000000e-04,1.55366700e-01,5.73962100e-02,0.00000000e+00,5.18924778e-05,1.91703341e-05,0.00000000e+00
662,2.88000000e-04,1.46230000e-01,5.39550400e-02,0.00000000e+00,4.21142400e-05,1.55390515e-05,0.00000000e+00
663,2.54000000e-04,1.37490000e-01,5.06737600e-02,0.00000000e+00,3.49224600e-05,1.28711350e-05,0.00000000e+00
664,2.25000000e-04,1.29146700e-01,4.75496500e-02,0.00000000e+00,2.90580075e-05,1.06986712e-05,0.00000000e+00
665,1.87000000e-04,1.21200000e-01,4.45800000e-02,0.00000000e+00,2.26644000e-05,8.33646000e-06,0.00000000e+00
666,1.67000000e-04,1.13639700e-01,4.17587200e-02,0.00000000e+00,1.89778299e-05,6.97370624e-06,0.00000000e+00
667,1.48000000e-04,1.06465000e-01,3.90849600e-02,0.00000000e+00,1.57568200e-05,5.78457408e-06,0.00000000e+00
668,1.27000000e-04,9.96904400e-02,3.65638400e-02,0.00000000e+00,1.26606859e-05,4.64360768e-06,0.00000000e+00
669,1.08000000e-04,9.33306100e-02,3.42004800e-02,0.00000000e+00,1.00797059e-05,3.69365184e-06,0.00000000e+00
670,1.01000000e-04,8.74000000e-02,3.20000000e-02,0.00000000e+00,8.82740000e-06,3.23200000e-06,0.00000000e+00
671,8.87000000e-05,8.19009600e-02,2.99626100e-02,0.00000000e+00,7.26461515e-06,2.65768351e-06,0.00000000e+00
672,8.04000000e-05,7.68042800e-02,2.80766400e-02,0.00000000e+00,6.17506411e-06,2.25736186e-06,0.00000000e+00
673,7.40000000e-05,7.20771200e-02,2.63293600e-02,0.00000000e+00,5.33370688e-06,1.94837264e-06,0.00000000e+00
674,6.40000000e-05,6.76866400e-02,2.47080500e-02,0.00000000e+00,4.33194496e-06,1.58131520e-06,0.00000000e+00
675,6.02000000e-05,6.36000000e-02,2.32000000e-02,0.00000000e+00,3.82872000e-06,1.39664000e-06,0.00000000e+00
676,5.31000000e-05,5.98068500e-02,2.18007700e-02,0.00000000e+00,3.17574374e-06,1.15762089e-06,0.00000000e+00
677,4.72000000e-05,5.62821600e-02,2.05011200e-02,0.00000000e+00,2.65651795e-06,9.67652864e-07,0.00000000e+00
678,3.51000000e-05,5.29710400e-02,1.92810800e-02,0.00000000e+00,1.85928350e-06,6.76765908e-07,0.00000000e+00
679,4.01000000e-05,4.98186100e-02,1.81206900e-02,0.00000000e+00,1.99772626e-06,7.26639669e-07,0.00000000e+00
680,3.50000000e-05,4.67700000e-02,1.70000000e-02,0.00000000e+00,1.63695000e-06,5.95000000e-07,0.00000000e+00
681,3.53000000e-05,4.37840500e-02,1.59037900e-02,0.00000000e+00,1.54557696e-06,5.61403787e-07,0.00000000e+00
682,3.10000000e-05,4.08753600e-02,1.48371800e-02,0.00000000e+00,1.26713616e-06,4.59952580e-07,0.00000000e+00
683,2.69000000e-05,3.80726400e-02,1.38106800e-02,0.00000000e+00,1.02415402e-06,3.71507292e-07,0.00000000e+00
684,2.63000000e-05,3.54046100e-02,1.28347800e-02,0.00000000e+00,9.31141243e-07,3.37554714e-07,0.00000000e+00
685,2.59000000e-05,3.29000000e-02,1.19200000e-02,0.00000000e+00,8.52110000e-07,3.08728000e-07,0.00000000e+00
686,2.80000000e-05,3.05641900e-02,1.10683100e-02,0.00000000e+00,8.55797320e-07,3.09912680e-07,0.00000000e+00
687,3.15000000e-05,2.83805600e-02,1.02733900e-02,0.00000000e+00,8.93987640e-07,3.23611785e-07,0.00000000e+00
688,2.07000000e-05,2.63448400e-02,9.53331100e-03,0.00000000e+00,5.45338188e-07,1.97339538e-07,0.00000000e+00
689,1.89000000e-05,2.44527500e-02,8.84615700e-03,0.00000000e+00,4.62156975e-07,1.67192367e-07,0.00000000e+00
690,1.89000000e-05,2.27000000e-02,8.21000000e-03,0.00000000e+00,4.29030000e-07,1.55169000e-07,0.00000000e+00
691,2.57000000e-05,2.10842900e-02,7.62378100e-03,0.00000000e+00,5.41866253e-07,1.95931172e-07,0.00000000e+00
692,1.38000000e-05,1.95998800e-02,7.08542400e-03,0.00000000e+00,2.70478344e-07,9.77788512e-08,0.00000000e+00
693,1.59000000e-05,1.82373200e-02,6.59147600e-03,0.00000000e+00,2.89973388e-07,1.04804468e-07,0.00000000e+00
694,1.82000000e-05,1.69871700e-02,6.13848500e-03,0.00000000e+00,3.09166494e-07,1.11720427e-07,0.00000000e+00
695,1.68000000e-05,1.58400000e-02,5.72300000e-03,0.00000000e+00,2.66112000e-07,9.61464000e-08,0.00000000e+00
696,2.03000000e-05,1.47906400e-02,5.34305900e-03,0.00000000e+00,3.00249992e-07,1.08464098e-07,0.00000000e+00
697,1.74000000e-05,1.38313200e-02,4.99579600e-03,0.00000000e+00,2.40664968e-07,8.69268504e-08,0.00000000e+00
698,1.69000000e-05,1.29486800e-02,4.67640400e-03,0.00000000e+00,2.18832692e-07,7.90312276e-08,0.00000000e+00
699,1.80000000e-05,1.21292000e-02,4.38007500e-03,0.00000000e+00,2.18325600e-07,7.88413500e-08,0.00000000e+00
700,1.16000000e-05,1.13591600e-02,4.10200000e-03,0.00000000e+00,1.31766256e-07,4.75832000e-08,0.00000000e+00
701,1.74000000e-05,1.06293500e-02,3.83845300e-03,0.00000000e+00,1.84950690e-07,6.67890822e-08,0.00000000e+00
702,1.36000000e-05,9.93884600e-03,3.58909900e-03,0.00000000e+00,1.35168306e-07,4.88117464e-08,0.00000000e+00
703,1.48000000e-05,9.28842200e-03,3.35421900e-03,0.00000000e+00,1.37468646e-07,4.96424412e-08,0.00000000e+00
704,1.28000000e-05,8.67885400e-03,3.13409300e-03,0.00000000e+00,1.11089331e-07,4.01163904e-08,0.00000000e+00
705,1.40000000e-05,8.11091600e-03,2.92900000e-03,0.00000000e+00,1.13552824e-07,4.10060000e-08,0.00000000e+00
706,1.20000000e-05,7.58238800e-03,2.73813900e-03,0.00000000e+00,9.09886560e-08,3.28576680e-08,0.00000000e+00
707,1.40000000e-05,7.08874600e-03,2.55987600e-03,0.00000000e+00,9.92424440e-08,3.58382640e-08,0.00000000e+00
708,1.61000000e-05,6.62731300e-03,2.39324400e-03,0.00000000e+00,1.06699739e-07,3.85312284e-08,0.00000000e+00
709,6.52000000e-06,6.19540800e-03,2.23727500e-03,0.00000000e+00,4.03940602e-08,1.45870330e-08,0.00000000e+00
710,1.24000000e-05,5.79034600e-03,2.09100000e-03,0.00000000e+00,7.18002904e-08,2.59284000e-08,0.00000000e+00
711,1.29000000e-05,5.40982600e-03,1.95358700e-03,0.00000000e+00,6.97867554e-08,2.52012723e-08,0.00000000e+00
712,6.34000000e-06,5.05258300e-03,1.82458000e-03,0.00000000e+00,3.20333762e-08,1.15678372e-08,0.00000000e+00
713,8.48000000e-06,4.71751200e-03,1.70358000e-03,0.00000000e+00,4.00045018e-08,1.44463584e-08,0.00000000e+00
714,9.32000000e-06,4.40350700e-03,1.59018700e-03,0.00000000e+00,4.10406852e-08,1.48205428e-08,0.00000000e+00
715,1.20000000e-05,4.10945700e-03,1.48400000e-03,0.00000000e+00,4.93134840e-08,1.78080000e-08,0.00000000e+00
716,1.29000000e-05,3.83391300e-03,1.38449600e-03,0.00000000e+00,4.94574777e-08,1.78599984e-08,0.00000000e+00
717,1.16000000e-05,3.57574800e-03,1.29126800e-03,0.00000000e+00,4.14786768e-08,1.49787088e-08,0.00000000e+00
718,9.30000000e-06,3.33434200e-03,1.20409200e-03,0.00000000e+00,3.10093806e-08,1.11980556e-08,0.00000000e+00
719,9.05000000e-06,3.10907500e-03,1.12274400e-03,0.00000000e+00,2.81371287e-08,1.01608332e-08,0.00000000e+00
720,1.18000000e-05,2.89932700e-03,1.04700000e-03,0.00000000e+00,3.42120586e-08,1.23546000e-08,0.00000000e+00
721,1.08000000e-05,2.70434800e-03,9.76589600e-04,0.00000000e+00,2.92069584e-08,1.05471677e-08,0.00000000e+00
722,1.12000000e-05,2.52302000e-03,9.11108800e-04,0.00000000e+00,2.82578240e-08,1.02044186e-08,0.00000000e+00
723,1.22000000e-05,2.35416800e-03,8.50133200e-04,0.00000000e+00,2.87208496e-08,1.03716250e-08,0.00000000e+00
724,8.43000000e-06,2.19661600e-03,7.93238400e-04,0.00000000e+00,1.85174729e-08,6.68699971e-09,0.00000000e+00
725,7.38000000e-06,2.04919000e-03,7.40000000e-04,0.00000000e+00,1.51230222e-08,5.46120000e-09,0.00000000e+00
726,9.15000000e-06,1.91096000e-03,6.90082700e-04,0.00000000e+00,1.74852840e-08,6.31425671e-09,0.00000000e+00
727,9.67000000e-06,1.78143800e-03,6.43310000e-04,0.00000000e+00,1.72265055e-08,6.22080770e-09,0.00000000e+00
728,6.48000000e-06,1.66011000e-03,5.99496000e-04,0.00000000e+00,1.07575128e-08,3.88473408e-09,0.00000000e+00
729,7.05000000e-06,1.54645900e-03,5.58454700e-04,0.00000000e+00,1.09025360e-08,3.93710563e-09,0.00000000e+00
